year;number;content;answer;tags
2023;1;"What is the value of <img src=""//latex.artofproblemsolving.com/5/9/4/594449998bc70faf5fea20cb7c1da497dc911f66.png"" class=""latex"" alt=""$(8 \times 4 + 2) - (8 + 4 \times 2)?$"" style=""vertical-align: -5px"" width=""204"" height=""20""><br> <br> <img src=""//latex.artofproblemsolving.com/c/0/0/c0048497fdf704d725f2e45f87fa827ada47126b.png"" class=""latex"" alt=""$\textbf{(A)}~0\qquad\textbf{(B)}~6\qquad\textbf{(C)}~10\qquad\textbf{(D)}~18\qquad\textbf{(E)}~24$"" style=""vertical-align: -5px"" width=""378"" height=""18"">";D;AMC 8,AMC,creative,MAA
2023;2;"A square piece of paper is folded twice into four equal quarters, as shown below, then cut along the dashed line. When unfolded, the paper will match which of the following figures?<br> <img src=""//latex.artofproblemsolving.com/d/1/3/d13c394f0b465a76e07bc187428b340253f1ded9.png"" class=""asy-image"" width=""522"" height=""118"" alt=""[asy] //kante314 size(11cm); filldraw((0,0)--(29,0)--(29,29)--(0,29)--cycle,mediumgray); draw((36,29/2)--(54,29/2),EndArrow(size=7)); draw((36,29/2)--(52.5,29/2),linewidth(1.5)); filldraw((61,22)--(63,22)--(63,6)--cycle,mediumgray);  fill((63,6+1*17/16)--(80,6+1*17/16)--(80,6+2*17/16)--(63,6+2*17/16)--cycle,lightgray); fill((63,6+3*17/16)--(80,6+3*17/16)--(80,6+4*17/16)--(63,6+4*17/16)--cycle,lightgray); fill((63,6+5*17/16)--(80,6+5*17/16)--(80,6+6*17/16)--(63,6+6*17/16)--cycle,lightgray); fill((63,6+7*17/16)--(80,6+7*17/16)--(80,6+8*17/16)--(63,6+8*17/16)--cycle,lightgray); fill((63,6+9*17/16)--(80,6+9*17/16)--(80,6+10*17/16)--(63,6+10*17/16)--cycle,lightgray); fill((63,6+11*17/16)--(80,6+11*17/16)--(80,6+12*17/16)--(63,6+12*17/16)--cycle,lightgray); fill((63,6+13*17/16)--(80,6+13*17/16)--(80,6+14*17/16)--(63,6+14*17/16)--cycle,lightgray); fill((63,6+15*17/16)--(80,6+15*17/16)--(80,6+16*17/16)--(63,6+16*17/16)--cycle,lightgray);  draw((63,6)--(63,23)--(68,23)--(69,12)--(80,6)--cycle); filldraw((69,12)--(69,27)--(67,28)--cycle,mediumgray); filldraw((69,12)--(69,29)--(80,23)--(80,6)--cycle,white);  fill((69,12+1*15/13)--(80,6+1*15/13)--(80,6+2*15/13)--(69,12+2*15/13)--cycle,lightgray); fill((69,12+3*15/13)--(80,6+3*15/13)--(80,6+4*15/13)--(69,12+4*15/13)--cycle,lightgray); fill((69,12+5*15/13)--(80,6+5*15/13)--(80,6+6*15/13)--(69,12+6*15/13)--cycle,lightgray); fill((69,12+7*15/13)--(80,6+7*15/13)--(80,6+8*15/13)--(69,12+8*15/13)--cycle,lightgray); fill((69,12+9*15/13)--(80,6+9*15/13)--(80,6+10*15/13)--(69,12+10*15/13)--cycle,lightgray); fill((69,12+11*15/13)--(80,6+11*15/13)--(80,6+12*15/13)--(69,12+12*15/13)--cycle,lightgray); fill((69,12+13*15/13)--(80,6+13*15/13)--(80,6+14*15/13)--(69,12+14*15/13)--cycle,lightgray);  draw((69,12)--(69,29)--(80,23)--(80,6)--cycle);  draw((87,29/2)--(105,29/2),EndArrow(size=7)); draw((87,29/2)--(102.5,29/2),linewidth(1.5));  fill((112,6+1*17/16)--(129,6+1*17/16)--(129,6+2*17/16)--(112,6+2*17/16)--cycle,lightgray); fill((112,6+3*17/16)--(129,6+3*17/16)--(129,6+4*17/16)--(112,6+4*17/16)--cycle,lightgray); fill((112,6+5*17/16)--(129,6+5*17/16)--(129,6+6*17/16)--(112,6+6*17/16)--cycle,lightgray); fill((112,6+7*17/16)--(129,6+7*17/16)--(129,6+8*17/16)--(112,6+8*17/16)--cycle,lightgray); fill((112,6+9*17/16)--(129,6+9*17/16)--(129,6+10*17/16)--(112,6+10*17/16)--cycle,lightgray); fill((112,6+11*17/16)--(129,6+11*17/16)--(129,6+12*17/16)--(112,6+12*17/16)--cycle,lightgray); fill((112,6+13*17/16)--(129,6+13*17/16)--(129,6+14*17/16)--(112,6+14*17/16)--cycle,lightgray); fill((112,6+15*17/16)--(129,6+15*17/16)--(129,6+16*17/16)--(112,6+16*17/16)--cycle,lightgray);  draw((112,6)--(129,6)--(129,23)--(112,23)--cycle); draw((112+17/2,6)--(129,6+17/2),dashed+linewidth(.3)); draw((111.7,6.7)--(111.7,23.3)--(128.3,23.3),linewidth(1)); draw((111.75,6.6)--(111.75,6.3)); draw((128.4,23.25)--(128.7,23.25)); [/asy]""><br> <img src=""//latex.artofproblemsolving.com/b/8/1/b81c837e2170c8ecb7688d79f9bfe5eb9f54347e.png"" class=""asy-image"" width=""522"" height=""255"" alt=""[asy] //kante314 size(11cm); label(scale(.85)*&quot;\textbf{(A)}&quot;, (2,55)); filldraw((7,31)--(13,31)--(19.5,37)--(26,31)--(32,31)--(32,37)--(26,43.5)--(32,50)--(32,56)--(26,56)--(19.5,50)--(13,56)--(7,56)--(7,50)--(13,43.5)--(7,37)--cycle,mediumgray);  label(scale(.85)*&quot;\textbf{(B)}&quot;, (44,55)); filldraw((49,31)--(55,31)--(61.5,37)--(68,31)--(74,31)--(74,37)--(74,50)--(74,56)--(68,56)--(61.5,50)--(55,56)--(49,56)--(49,50)--(49,37)--cycle,mediumgray);  label(scale(.85)*&quot;\textbf{(C)}&quot;, (86,55)); filldraw((91,31)--(116,31)--(116,56)--(91,56)--cycle,mediumgray); filldraw((91+25/4,31+25/4)--(116-25/4,31+25/4)--(116-25/4,56-25/4)--(91+25/4,56-25/4)--cycle,white);  label(scale(.85)*&quot;\textbf{(D)}&quot;, (2,24)); filldraw((7,0)--(32,0)--(32,25)--(7,25)--cycle,mediumgray); filldraw((7+25/4,25/2)--(32-25/4,25/2)--(7+25/2,25-25/4)--cycle,white);  label(scale(.85)*&quot;\textbf{(E)}&quot;, (44,24)); filldraw((49,0)--(74,0)--(74,25)--(49,25)--cycle,mediumgray); filldraw((49+25/4,25/2)--(49+25/2,25/4)--(74-25/4,25/2)--(49+25/2,25-25/4)--cycle,white); [/asy]"">";E;AMC 8
2023;3;"<i>Wind chill</i> is a measure of how cold people feel when exposed to wind outside. A good estimate for wind chill can be found using this calculation: <img src=""//latex.artofproblemsolving.com/f/3/6/f369c01ac084111c42f8e8f2f14158b156d06fdf.png"" class=""latexcenter"" alt=""$$(\text{wind chill}) = (\text{air temperature}) - 0.7 \times (\text{wind speed}),$$"" width=""402"" height=""18"">where temperature is measured in degrees Fahrenheit <img src=""//latex.artofproblemsolving.com/5/0/8/50825c320108cf386419b90d13b40038bb67b5fc.png"" class=""latex"" alt=""$(^{\circ}\text{F})$"" style=""vertical-align: -5px"" width=""34"" height=""20""> and and the wind speed is measured in miles per hour (mph). Suppose the air temperature is <img src=""//latex.artofproblemsolving.com/8/8/4/884dbbe940ce49f85f21e5d607e5d6bfa99b25d9.png"" class=""latex"" alt=""$36^{\circ}\text{F} $"" style=""vertical-align: -1px"" width=""38"" height=""15""> and the wind speed is <img src=""//latex.artofproblemsolving.com/5/e/7/5e7a1b6098a8c98b8e4adae526aeef4b91712620.png"" class=""latex"" alt=""$18$"" style=""vertical-align: 0px"" width=""17"" height=""13""> mph. Which of the following is closest to the approximate wind chill?<br> <br> <img src=""//latex.artofproblemsolving.com/4/0/c/40c44029613e027f2966df5eb84a8457d63d2a56.png"" class=""latex"" alt=""$\textbf{(A)}~18\qquad\textbf{(B)}~23\qquad\textbf{(C)}~28\qquad\textbf{(D)}~32\qquad\textbf{(E)}~35$"" style=""vertical-align: -5px"" width=""397"" height=""18"">";B;AMC,AMC 8
2023;4;"The numbers from <img src=""//latex.artofproblemsolving.com/d/c/e/dce34f4dfb2406144304ad0d6106c5382ddd1446.png"" class=""latex"" alt=""$1$"" style=""vertical-align: -1px"" width=""11"" height=""14""> to <img src=""//latex.artofproblemsolving.com/3/4/c/34c8e6bf4d57cd6f2bb0d7d43e00f0f442f53b84.png"" class=""latex"" alt=""$49$"" style=""vertical-align: 0px"" width=""17"" height=""13""> are arranged in a spiral pattern on a square grid, beginning at the center. The first few numbers have been entered into the grid below. Consider the four numbers that will appear in the shaded squares, on the same diagonal as the number <img src=""//latex.artofproblemsolving.com/b/1/7/b17ce6fcb2994d4241d780dd5311d828db133411.png"" class=""latex"" alt=""$7.$"" width=""12"" height=""12""> How many of these four numbers are prime?<br> <img src=""//latex.artofproblemsolving.com/d/0/b/d0b5d26f01d61fb299b1d3433b37090aba4801f4.png"" class=""asy-image"" width=""285"" height=""285"" alt=""[asy] size(6cm); fill((4,0)--(5,0)--(5,1)--(4,1)--cycle,mediumgray); fill((3,1)--(4,1)--(4,2)--(3,2)--cycle,mediumgray); fill((1,3)--(1,4)--(2,4)--(2,3)--cycle,mediumgray); fill((0,4)--(0,5)--(1,5)--(1,4)--cycle,mediumgray);  label(scale(.9)*&quot;$1$&quot;, (3.5,3.5)); label(scale(.9)*&quot;$2$&quot;, (4.5,3.5)); label(scale(.9)*&quot;$3$&quot;, (4.5,4.5)); label(scale(.9)*&quot;$4$&quot;, (3.5,4.5)); label(scale(.9)*&quot;$5$&quot;, (2.5,4.5)); label(scale(.9)*&quot;$6$&quot;, (2.5,3.5)); label(scale(.9)*&quot;$7$&quot;, (2.5,2.5));  draw((1,0)--(1,7)--(2,7)--(2,0)--(3,0)--(3,7)--(4,7)--(4,0)--(5,0)--(5,7)--(6,7)--(6,0)--(7,0)--(7,7),gray);  draw((0,1)--(7,1)--(7,2)--(0,2)--(0,3)--(7,3)--(7,4)--(0,4)--(0,5)--(7,5)--(7,6)--(0,6)--(0,7)--(7,7),gray);  draw((4,4)--(3,4)--(3,3)--(5,3)--(5,5)--(2,5)--(2,2)--(6,2)--(6,6)--(1,6)--(1,1)--(7,1)--(7,7)--(0,7)--(0,0)--(7,0),linewidth(1.25)); [/asy]""><br> <br> <img src=""//latex.artofproblemsolving.com/1/a/2/1a2f96f2780060efb1d15d3bd53788fbdcacc675.png"" class=""latex"" alt=""$\textbf{(A) } 0\qquad\textbf{(B) } 1\qquad\textbf{(C) } 2\qquad\textbf{(D) } 3\qquad\textbf{(E) } 4$"" style=""vertical-align: -5px"" width=""355"" height=""18"">";D;AMC 8,geometry
2023;5;"A lake contains <img src=""//latex.artofproblemsolving.com/4/4/8/448b3c8f2596d1b93b4b3ef199f8b3241ced9da2.png"" class=""latex"" alt=""$250$"" width=""26"" height=""12""> trout, along with a variety of other fish. When a marine biologist catches and releases a sample of <img src=""//latex.artofproblemsolving.com/5/c/b/5cb1b41850ab676e4d1cf15c69b1609af4befbc5.png"" class=""latex"" alt=""$180$"" style=""vertical-align: 0px"" width=""26"" height=""13""> fish from the lake, <img src=""//latex.artofproblemsolving.com/6/5/1/651ba418a810d971dbc8a326d49a71fe1541fae0.png"" class=""latex"" alt=""$30$"" width=""17"" height=""12""> are identified as trout. Assume that the ratio of trout to the total number of fish is the same in both the sample and the lake. How many fish are there in the lake?<br> <br> <img src=""//latex.artofproblemsolving.com/2/6/3/263cdbaaeb04590b7831ab6e564af899c78e658b.png"" class=""latex"" alt=""$\textbf{(A)}~1250\qquad \textbf{(B)}~1500\qquad \textbf{(C)}~1750\qquad \textbf{(D)}~1800\qquad \textbf{(E)}~2000$"" style=""vertical-align: -5px"" width=""487"" height=""18"">";B;ratio,AMC,AMC 8
2023;6;"The digits <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/4/1/c/41c544263a265ff15498ee45f7392c5f86c6d151.png"" class=""latex"" alt=""$2$"" width=""8"" height=""12"">,</span> <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/b/c/1/bc1f9d9bf8a1b606a4188b5ce9a2af1809e27a89.png"" class=""latex"" alt=""$0$"" width=""8"" height=""12"">,</span> <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/4/1/c/41c544263a265ff15498ee45f7392c5f86c6d151.png"" class=""latex"" alt=""$2$"" width=""8"" height=""12"">,</span> and <img src=""//latex.artofproblemsolving.com/7/c/d/7cde695f2e4542fd01f860a89189f47a27143b66.png"" class=""latex"" alt=""$3$"" width=""8"" height=""12""> are placed in the expression below, one digit per box. What is the maximum possible value of the expression?<br> <br> <img src=""//latex.artofproblemsolving.com/2/0/1/201634a30009a32327cce619dd8ea796da6d26e0.png"" class=""asy-image"" width=""238"" height=""78"" alt=""[asy] // Diagram by TheMathGuyd. I can compress this later size(5cm); real w=2.2; pair O,I,J; O=(0,0);I=(1,0);J=(0,1); path bsqb = O--I; path bsqr = I--I+J; path bsqt = I+J--J; path bsql = J--O; path lsqb = shift((1.2,0.75))*scale(0.5)*bsqb; path lsqr = shift((1.2,0.75))*scale(0.5)*bsqr; path lsqt = shift((1.2,0.75))*scale(0.5)*bsqt; path lsql = shift((1.2,0.75))*scale(0.5)*bsql; draw(bsqb,dashed); draw(bsqr,dashed); draw(bsqt,dashed); draw(bsql,dashed); draw(lsqb,dashed); draw(lsqr,dashed); draw(lsqt,dashed); draw(lsql,dashed); label(scale(3)*&quot;$\times$&quot;,(w,1/3)); draw(shift(1.3w,0)*bsqb,dashed); draw(shift(1.3w,0)*bsqr,dashed); draw(shift(1.3w,0)*bsqt,dashed); draw(shift(1.3w,0)*bsql,dashed); draw(shift(1.3w,0)*lsqb,dashed); draw(shift(1.3w,0)*lsqr,dashed); draw(shift(1.3w,0)*lsqt,dashed); draw(shift(1.3w,0)*lsql,dashed);  [/asy]""><img src=""//latex.artofproblemsolving.com/b/4/c/b4cd50d3709083277351f569e0a8c41fc42d1bc6.png"" class=""latex"" alt=""$\textbf{(A) } 0\qquad\textbf{(B) } 8\qquad\textbf{(C) } 9\qquad\textbf{(D) } 16\qquad\textbf{(E) } 18$"" style=""vertical-align: -5px"" width=""373"" height=""18"">";C;AMC 8
2023;7;"A rectangle, with sides parallel to the <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/3/1/5/31572a833f4041c91695248e85c6f3a17ed948fc.png"" class=""latex"" alt=""$x-$"" width=""23"" height=""8"">a</span>xis and <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/b/4/c/b4c043d8e7e8db1742586f61f455c2bdecd743ce.png"" class=""latex"" alt=""$y-$"" style=""vertical-align: -3px"" width=""22"" height=""11"">a</span>xis, has opposite vertices located at <img src=""//latex.artofproblemsolving.com/3/6/9/369f25e046708ea40ec93bbb3dcbc60cf292c600.png"" class=""latex"" alt=""$(15, 3)$"" style=""vertical-align: -5px"" width=""51"" height=""20""> an<span style=""white-space:pre;"">d<img src=""//latex.artofproblemsolving.com/c/1/a/c1a6f9f48a58ea2266909a554bfed582990687bb.png"" class=""latex"" alt=""$(16, 5).$"" style=""vertical-align: -5px"" width=""56"" height=""20""></span> A line is drawn through points <img src=""//latex.artofproblemsolving.com/2/f/1/2f12d9fe54dd3a92528b0439c29fb7baa5f6b978.png"" class=""latex"" alt=""$A(0, 0)$"" style=""vertical-align: -4px"" width=""52"" height=""18""> and <img src=""//latex.artofproblemsolving.com/d/1/b/d1bd22b08de446f9e24f9ce86cd657e6734e9861.png"" class=""latex"" alt=""$B(3, 1).$"" style=""vertical-align: -5px"" width=""62"" height=""20""> Another line is drawn through points <img src=""//latex.artofproblemsolving.com/6/c/f/6cfba96a1a74d455508dcfb80e767010863d5bd5.png"" class=""latex"" alt=""$C(0, 10)$"" style=""vertical-align: -5px"" width=""66"" height=""20""> and <img src=""//latex.artofproblemsolving.com/1/d/c/1dc36ae368baa1eb766ea78a80d6070dcc2614b5.png"" class=""latex"" alt=""$D(2, 9).$"" style=""vertical-align: -5px"" width=""63"" height=""20""> How many points on the rectangle lie on at least one of the two lines?<br> <img src=""//latex.artofproblemsolving.com/8/9/2/8928fad0ea498dc631efdb63a8962132cc82f5c8.png"" class=""asy-image"" width=""428"" height=""282"" alt=""[asy] size(9cm); draw((0,-.5)--(0,11),EndArrow(size=.15cm)); draw((1,0)--(1,11),mediumgray); draw((2,0)--(2,11),mediumgray); draw((3,0)--(3,11),mediumgray); draw((4,0)--(4,11),mediumgray); draw((5,0)--(5,11),mediumgray); draw((6,0)--(6,11),mediumgray); draw((7,0)--(7,11),mediumgray); draw((8,0)--(8,11),mediumgray); draw((9,0)--(9,11),mediumgray); draw((10,0)--(10,11),mediumgray); draw((11,0)--(11,11),mediumgray); draw((12,0)--(12,11),mediumgray); draw((13,0)--(13,11),mediumgray); draw((14,0)--(14,11),mediumgray); draw((15,0)--(15,11),mediumgray); draw((16,0)--(16,11),mediumgray);  draw((-.5,0)--(17,0),EndArrow(size=.15cm)); draw((0,1)--(17,1),mediumgray); draw((0,2)--(17,2),mediumgray); draw((0,3)--(17,3),mediumgray); draw((0,4)--(17,4),mediumgray); draw((0,5)--(17,5),mediumgray); draw((0,6)--(17,6),mediumgray); draw((0,7)--(17,7),mediumgray); draw((0,8)--(17,8),mediumgray); draw((0,9)--(17,9),mediumgray); draw((0,10)--(17,10),mediumgray);  draw((-.13,1)--(.13,1)); draw((-.13,2)--(.13,2)); draw((-.13,3)--(.13,3)); draw((-.13,4)--(.13,4)); draw((-.13,5)--(.13,5)); draw((-.13,6)--(.13,6)); draw((-.13,7)--(.13,7)); draw((-.13,8)--(.13,8)); draw((-.13,9)--(.13,9)); draw((-.13,10)--(.13,10));  draw((1,-.13)--(1,.13)); draw((2,-.13)--(2,.13)); draw((3,-.13)--(3,.13)); draw((4,-.13)--(4,.13)); draw((5,-.13)--(5,.13)); draw((6,-.13)--(6,.13)); draw((7,-.13)--(7,.13)); draw((8,-.13)--(8,.13)); draw((9,-.13)--(9,.13)); draw((10,-.13)--(10,.13)); draw((11,-.13)--(11,.13)); draw((12,-.13)--(12,.13)); draw((13,-.13)--(13,.13)); draw((14,-.13)--(14,.13)); draw((15,-.13)--(15,.13)); draw((16,-.13)--(16,.13));  label(scale(.7)*&quot;$1$&quot;, (1,-.13), S); label(scale(.7)*&quot;$2$&quot;, (2,-.13), S); label(scale(.7)*&quot;$3$&quot;, (3,-.13), S); label(scale(.7)*&quot;$4$&quot;, (4,-.13), S); label(scale(.7)*&quot;$5$&quot;, (5,-.13), S); label(scale(.7)*&quot;$6$&quot;, (6,-.13), S); label(scale(.7)*&quot;$7$&quot;, (7,-.13), S); label(scale(.7)*&quot;$8$&quot;, (8,-.13), S); label(scale(.7)*&quot;$9$&quot;, (9,-.13), S); label(scale(.7)*&quot;$10$&quot;, (10,-.13), S); label(scale(.7)*&quot;$11$&quot;, (11,-.13), S); label(scale(.7)*&quot;$12$&quot;, (12,-.13), S); label(scale(.7)*&quot;$13$&quot;, (13,-.13), S); label(scale(.7)*&quot;$14$&quot;, (14,-.13), S); label(scale(.7)*&quot;$15$&quot;, (15,-.13), S); label(scale(.7)*&quot;$16$&quot;, (16,-.13), S);  label(scale(.7)*&quot;$1$&quot;, (-.13,1), W); label(scale(.7)*&quot;$2$&quot;, (-.13,2), W); label(scale(.7)*&quot;$3$&quot;, (-.13,3), W); label(scale(.7)*&quot;$4$&quot;, (-.13,4), W); label(scale(.7)*&quot;$5$&quot;, (-.13,5), W); label(scale(.7)*&quot;$6$&quot;, (-.13,6), W); label(scale(.7)*&quot;$7$&quot;, (-.13,7), W); label(scale(.7)*&quot;$8$&quot;, (-.13,8), W); label(scale(.7)*&quot;$9$&quot;, (-.13,9), W); label(scale(.7)*&quot;$10$&quot;, (-.13,10), W);   dot((0,0)); label(scale(.65)*&quot;$A$&quot;, (0,0), NE); dot((3,1)); label(scale(.65)*&quot;$B$&quot;, (3,1), NE);  dot((0,10)); label(scale(.65)*&quot;$C$&quot;, (0,10), NE); dot((2,9)); label(scale(.65)*&quot;$D$&quot;, (2,9), NE);  draw((15,3)--(16,3)--(16,5)--(15,5)--cycle,linewidth(1.125)); dot((15,3)); dot((16,3)); dot((16,5)); dot((15,5)); [/asy]""><br> <br> <img src=""//latex.artofproblemsolving.com/1/a/2/1a2f96f2780060efb1d15d3bd53788fbdcacc675.png"" class=""latex"" alt=""$\textbf{(A) } 0\qquad\textbf{(B) } 1\qquad\textbf{(C) } 2\qquad\textbf{(D) } 3\qquad\textbf{(E) } 4$"" style=""vertical-align: -5px"" width=""355"" height=""18"">";B;geometry,rectangle,AMC 8
2023;8;"Lola, Lolo, Tiya, and Tiyo participated in a ping pong tournament. Each player competed against each of the other three players exactly twice. Shown below are the win-loss records for the players. The numbers <img src=""//latex.artofproblemsolving.com/d/c/e/dce34f4dfb2406144304ad0d6106c5382ddd1446.png"" class=""latex"" alt=""$1$"" style=""vertical-align: -1px"" width=""11"" height=""14""> and <img src=""//latex.artofproblemsolving.com/b/c/1/bc1f9d9bf8a1b606a4188b5ce9a2af1809e27a89.png"" class=""latex"" alt=""$0$"" width=""8"" height=""12""> represent a win or loss, respectively. For example, Lola won five matches and lost the fourth match. What was Tiyo’s win-loss record?<br> <br> <img src=""//latex.artofproblemsolving.com/c/1/0/c108a299c4eace651f02848c15ca7a646f6adff0.png"" class=""latexcenter"" alt=""\[\begin{tabular}{c | c} Player &amp; Result \\ \hline Lola &amp; \texttt{111011}\\ Lolo &amp; \texttt{101010}\\ Tiya &amp; \texttt{010100}\\ Tiyo &amp; \texttt{??????} \end{tabular}\]"" width=""138"" height=""100""><img src=""//latex.artofproblemsolving.com/2/f/8/2f864ccc76be9adc32edd15f6b519277dfd87e01.png"" class=""latex"" alt=""$\textbf{(A)}\ \texttt{000101} \qquad \textbf{(B)}\ \texttt{001001} \qquad \textbf{(C)}\ \texttt{010000} \qquad \textbf{(D)}\ \texttt{010101} \qquad \textbf{(E)}\ \texttt{011000}$"" style=""vertical-align: -5px"" width=""567"" height=""18"">";A;AMC 8
2023;9;"Malaika is skiing on a mountain. The graph below shows her elevation, in meters, above the base of the mountain as she skis along a trail. In total, how many seconds does she spend at an elevation between <img src=""//latex.artofproblemsolving.com/c/7/c/c7cab1a05e1e0c1d51a6a219d96577a16b7abf9d.png"" class=""latex"" alt=""$4$"" style=""vertical-align: 0px"" width=""9"" height=""12""> and <img src=""//latex.artofproblemsolving.com/e/0/a/e0a0db32027a732ac57d37ef2ae9bb150f65b108.png"" class=""latex"" alt=""$7$"" width=""9"" height=""12""> meters?<br> <img src=""//latex.artofproblemsolving.com/8/f/b/8fb400c99ed94b8b0a7d87fc66909b3cde3ca1fa.png"" class=""asy-image"" width=""378"" height=""378"" alt=""[asy] // Diagram by TheMathGuyd. Found cubic, so graph is perfect. import graph; size(8cm); int i; for(i=1; i<9; i=i+1) { draw((-0.2,2i-1)--(16.2,2i-1), mediumgrey); draw((2i-1,-0.2)--(2i-1,16.2), mediumgrey); draw((-0.2,2i)--(16.2,2i), grey); draw((2i,-0.2)--(2i,16.2), grey); } Label f;  f.p=fontsize(6);  xaxis(-0.5,17.8,Ticks(f, 2.0),Arrow());  yaxis(-0.5,17.8,Ticks(f, 2.0),Arrow());  real f(real x)  {  return -0.03125 x^(3) + 0.75x^(2) - 5.125 x + 14.5;  }  draw(graph(f,0,15.225),currentpen+1); real dpt=2; real ts=0.75; transform st=scale(ts); label(rotate(90)*st*&quot;Elevation (meters)&quot;,(-dpt,8)); label(st*&quot;Time (seconds)&quot;,(8,-dpt)); [/asy]""><br> <img src=""//latex.artofproblemsolving.com/2/1/5/2156f0393e81016091a8ff1e9ed25ffc335eb3ee.png"" class=""latex"" alt=""$\textbf{(A)}\ 6 \qquad \textbf{(B)}\ 8 \qquad \textbf{(C)}\ 10 \qquad \textbf{(D)}\ 12 \qquad \textbf{(E)}\ 14$"" style=""vertical-align: -5px"" width=""378"" height=""18"">";B;
2023;10;"Harold made a plum pie to take on a picnic. He was able to eat only <img src=""//latex.artofproblemsolving.com/c/3/3/c339afa03e060d959e4942be7522c0c992f4c41c.png"" class=""latex"" alt=""$\frac{1}{4}$"" style=""vertical-align: -13px"" width=""11"" height=""37""> of the pie, and he left the rest for his friends. A moose came by and ate <img src=""//latex.artofproblemsolving.com/4/e/1/4e1965f8d70832ded66434c75a7bd52b75090af0.png"" class=""latex"" alt=""$\frac{1}{3}$"" style=""vertical-align: -12px"" width=""11"" height=""37""> of what Harold left behind. After that, a porcupine ate <img src=""//latex.artofproblemsolving.com/4/e/1/4e1965f8d70832ded66434c75a7bd52b75090af0.png"" class=""latex"" alt=""$\frac{1}{3}$"" style=""vertical-align: -12px"" width=""11"" height=""37""> of what the moose left behind. How much of the original pie still remained after the porcupine left?<br> <br> <img src=""//latex.artofproblemsolving.com/e/1/9/e19562d5868a4659821511d7007cda39d3587d92.png"" class=""latex"" alt=""$\textbf{(A)}\ \frac{1}{12} \qquad \textbf{(B)}\ \frac{1}{6} \qquad \textbf{(C)}\ \frac{1}{4} \qquad \textbf{(D)}\ \frac{1}{3} \qquad \textbf{(E)}\ \frac{5}{12}$"" style=""vertical-align: -13px"" width=""389"" height=""38"">";D;AMC 8
